Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
1,0.07674096,0.09642054,0.07723779,0.99845743,0.99845743,0.9593041,0.09642054,test,Arteriole lumen
1,0.29292667,0.34237373,0.29550743,0.99322414,0.99322414,0.9750455,0.34237373,test,Arteriole media
1,0.046830628,0.054742962,0.04716131,0.9970051,0.9970051,0.6722225,0.054742966,test,Arteriole adventitia
1,0.044097107,0.0777091,0.044353895,0.91259825,0.91259825,0.93933535,0.0777091,test,Capillary lumen
1,0.08873615,0.13851678,0.09028307,0.9119128,0.9119128,0.95094943,0.13851678,test,Capillary wall
1,0.041889418,0.06327483,0.04271229,0.9906442,0.9906442,0.96654606,0.06327483,test,Venule lumen
1,0.053218387,0.07545027,0.055072688,0.984703,0.984703,0.96695495,0.07545027,test,Venule wall
1,0.45706782,0.46518028,0.45709223,0.99976134,0.99976134,0.98812276,0.46518028,test,Immune cells
1,0.66601276,0.6712556,0.6660409,0.9999521,0.9999521,0.9841753,0.6712556,test,Nerve trunks
1,0.1963911,0.22054712,0.19727351,0.97647315,0.97647315,0.9336285,0.22054712,test,Mean
1,0.04850207,0.066932425,0.048712265,0.9635793,0.9635793,0.95091486,0.066932425,train,Arteriole lumen
1,0.15730992,0.19791959,0.16960399,0.94814056,0.94814056,0.9716953,0.19791958,train,Arteriole media
1,0.022591364,0.030373951,0.02395251,0.985775,0.985775,0.8234684,0.030373953,train,Arteriole adventitia
1,0.010950852,0.01701869,0.011011271,0.833771,0.833771,0.90022874,0.01701869,train,Capillary lumen
1,0.02425157,0.04015862,0.0636805,0.8013735,0.8013735,0.9487583,0.04015862,train,Capillary wall
1,0.09627899,0.12788379,0.10081038,0.877207,0.877207,0.95287406,0.12788379,train,Venule lumen
1,0.07137319,0.10393679,0.09680271,0.792199,0.792199,0.9666828,0.10393679,train,Venule wall
1,0.6868715,0.700709,0.7025561,0.980114,0.980114,0.9429533,0.700709,train,Immune cells
1,0.6309881,0.66754067,0.7532549,0.86969924,0.86969924,0.97731113,0.66754067,train,Nerve trunks
1,0.1943464,0.2169415,0.21893162,0.894651,0.894651,0.93720967,0.2169415,train,Mean
2,0.25090837,0.29015934,0.26500654,0.96430576,0.96430576,0.99353755,0.29015934,test,Arteriole lumen
2,0.5672322,0.6131203,0.58119595,0.9782927,0.9782927,0.9897609,0.6131203,test,Arteriole media
2,0.4149224,0.42356992,0.41499048,0.9996245,0.9996245,0.9592706,0.42356992,test,Arteriole adventitia
2,0.10573819,0.15391567,0.2654758,0.72302496,0.72302496,0.98447406,0.15391566,test,Capillary lumen
2,0.26562884,0.31589013,0.42300135,0.70014656,0.70014656,0.9894194,0.31589013,test,Capillary wall
2,0.34891847,0.36995918,0.35160038,0.9881926,0.9881926,0.9932442,0.36995918,test,Venule lumen
2,0.41293362,0.43342718,0.4301116,0.9744082,0.9744082,0.99481755,0.43342718,test,Venule wall
2,0.8814633,0.8860141,0.9168882,0.9644568,0.9644568,0.99761206,0.8860141,test,Immune cells
2,0.7528428,0.75637496,0.75299203,0.9997886,0.9997886,0.99156535,0.75637496,test,Nerve trunks
2,0.44450977,0.4713812,0.48902914,0.92136,0.92136,0.98818904,0.4713812,test,Mean
2,0.26490745,0.28494245,0.29773474,0.926825,0.926825,0.98529696,0.28494245,train,Arteriole lumen
2,0.59143806,0.61818194,0.6664868,0.91554403,0.91554403,0.98718095,0.61818194,train,Arteriole media
2,0.57614183,0.5820927,0.6197726,0.95336443,0.95336443,0.979214,0.5820927,train,Arteriole adventitia
2,0.08665109,0.10470765,0.08680707,0.87616205,0.87616205,0.96810424,0.10470765,train,Capillary lumen
2,0.15380287,0.1960206,0.15477169,0.86985373,0.86985373,0.9832241,0.19602059,train,Capillary wall
2,0.27801058,0.32917088,0.35160884,0.88411623,0.88411623,0.9908426,0.32917088,train,Venule lumen
2,0.26322794,0.32557145,0.31159285,0.9113736,0.9113736,0.9906937,0.32557145,train,Venule wall
2,0.53567106,0.5548647,0.5416963,0.8848479,0.8848479,0.96519136,0.5548647,train,Immune cells
2,0.5737815,0.57590264,0.5770495,0.9966336,0.9966336,0.9920862,0.57590264,train,Nerve trunks
2,0.36929247,0.39682835,0.4008356,0.91319114,0.91319114,0.982426,0.39682835,train,Mean
3,0.5780897,0.6284777,0.58321935,0.9943322,0.9943322,0.99810696,0.6284777,test,Arteriole lumen
3,0.61456066,0.6609973,0.71774346,0.87720424,0.87720424,0.99754333,0.6609973,test,Arteriole media
3,0.6090916,0.61804175,0.6125036,0.9895845,0.9895845,0.99223137,0.61804175,test,Arteriole adventitia
3,0.36622012,0.44043526,0.40876767,0.81031907,0.81031907,0.99506,0.44043526,test,Capillary lumen
3,0.45610154,0.52828026,0.5305262,0.7137466,0.7137466,0.9974202,0.52828026,test,Capillary wall
3,0.6954209,0.7093612,0.7297249,0.9621317,0.9621317,0.996484,0.7093612,test,Venule lumen
3,0.709826,0.7273644,0.7469384,0.9542834,0.9542834,0.9966762,0.7273644,test,Venule wall
3,0.90314347,0.906033,0.9109385,0.96032804,0.96032804,0.9970501,0.906033,test,Immune cells
3,0.8824379,0.8857523,0.8825815,0.9998201,0.9998201,0.9972769,0.8857523,test,Nerve trunks
3,0.6460991,0.6783048,0.6803271,0.91797227,0.91797227,0.99642766,0.6783048,test,Mean
3,0.603963,0.6460124,0.61989653,0.9634651,0.9634651,0.99708897,0.6460124,train,Arteriole lumen
3,0.6344025,0.68006337,0.65445966,0.97538024,0.97538024,0.99466443,0.68006337,train,Arteriole media
