Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
1,0.85518587,0.8800219,0.8903613,0.94764507,0.94764507,0.9994564,0.8800219,test,Arteriole lumen
1,0.83352625,0.86163145,0.8635307,0.9591111,0.9591111,0.99735117,0.86163145,test,Arteriole media
1,0.7924084,0.8024088,0.798292,0.9833468,0.9833468,0.99345684,0.8024088,test,Arteriole adventitia
1,0.78120404,0.80009955,0.86205584,0.88952446,0.88952446,0.99948525,0.80009955,test,Capillary lumen
1,0.79258776,0.8120892,0.86140966,0.8665477,0.8665477,0.9995283,0.8120892,test,Capillary wall
1,0.8821635,0.9037493,0.9705332,0.9035906,0.9035906,0.99984074,0.9037493,test,Venule lumen
1,0.85837984,0.874736,0.9263166,0.905726,0.905726,0.9996566,0.874736,test,Venule wall
1,0.917258,0.9290707,0.9253116,0.9866085,0.9866085,0.99380195,0.9290707,test,Immune cells
1,0.9132413,0.93918353,0.9143559,0.9986565,0.9986565,0.9906316,0.93918353,test,Nerve trunks
1,0.84732836,0.8669989,0.8902408,0.93786186,0.93786186,0.9970233,0.8669989,test,Mean
1,0.741605,0.8128379,0.8599297,0.8474943,0.8474943,0.99879384,0.8128379,train,Arteriole lumen
1,0.61116564,0.68480104,0.88875645,0.6924264,0.6924264,0.9951776,0.68480104,train,Arteriole media
1,0.6059315,0.62381566,0.6460644,0.9333843,0.9333843,0.98881674,0.62381566,train,Arteriole adventitia
1,0.4676423,0.5006222,0.53241026,0.79768133,0.79768133,0.9988493,0.5006222,train,Capillary lumen
1,0.34169054,0.38346893,0.40019488,0.7897042,0.7897042,0.99862134,0.38346893,train,Capillary wall
1,0.4039851,0.43333736,0.45474946,0.937029,0.937029,0.9970315,0.43333736,train,Venule lumen
1,0.45807615,0.4935601,0.4974587,0.9360011,0.9360011,0.99620485,0.4935601,train,Venule wall
1,0.52288663,0.54356456,0.55260503,0.9562044,0.9562044,0.99287975,0.54356456,train,Immune cells
1,0.7152674,0.72302365,0.72203076,0.9922858,0.9922858,0.9923801,0.72302365,train,Nerve trunks
1,0.5409167,0.5776701,0.61713326,0.8758012,0.8758012,0.9954172,0.5776701,train,Mean
2,0.8644592,0.8866606,0.8833522,0.9734125,0.9734125,0.9979068,0.8866606,test,Arteriole lumen
2,0.8620273,0.8889452,0.8948915,0.95582104,0.95582104,0.99856853,0.8889452,test,Arteriole media
2,0.7842225,0.7920959,0.8060014,0.948269,0.948269,0.9983107,0.7920959,test,Arteriole adventitia
2,0.8092183,0.8331149,0.8938597,0.89918905,0.89918905,0.9998374,0.8331149,test,Capillary lumen
2,0.7879495,0.8124491,0.8608794,0.9005637,0.9005637,0.99917734,0.8124491,test,Capillary wall
2,0.80840915,0.8257477,0.8417567,0.95966786,0.95966786,0.99896455,0.8257477,test,Venule lumen
2,0.7713047,0.789874,0.8073484,0.947801,0.947801,0.9972333,0.789874,test,Venule wall
2,0.95096225,0.96284074,0.9649343,0.98076725,0.98076725,0.9972075,0.96284074,test,Immune cells
2,0.889532,0.9089945,0.89052916,0.9988556,0.9988556,0.9932502,0.90899444,test,Nerve trunks
2,0.83645386,0.8556359,0.8715059,0.9515941,0.9515941,0.9978285,0.8556359,test,Mean
2,0.67033553,0.6867963,0.71700394,0.82410175,0.82410175,0.99522245,0.6867963,train,Arteriole lumen
2,0.6210679,0.6409301,0.6646142,0.8238883,0.8238883,0.995578,0.64093006,train,Arteriole media
2,0.64161444,0.65273505,0.66200256,0.96645594,0.96645594,0.9928053,0.65273505,train,Arteriole adventitia
2,0.6785078,0.7141557,0.79665947,0.8429185,0.8429185,0.99974227,0.7141557,train,Capillary lumen
2,0.57774067,0.5999209,0.6843511,0.8096815,0.8096815,0.9987557,0.5999209,train,Capillary wall
2,0.5224056,0.584883,0.82681113,0.67426133,0.67426133,0.9973441,0.584883,train,Venule lumen
2,0.47904965,0.55064714,0.72573715,0.6380511,0.6380511,0.99230826,0.55064714,train,Venule wall
2,0.672363,0.69196546,0.78719914,0.8655772,0.8655772,0.9979657,0.69196546,train,Immune cells
2,0.8557193,0.8809087,0.963196,0.89080364,0.89080364,0.9979922,0.8809087,train,Nerve trunks
2,0.6354226,0.66699356,0.7586194,0.8150822,0.8150822,0.9964127,0.66699356,train,Mean
3,0.913436,0.9339834,0.9358948,0.9702908,0.9702908,0.99976563,0.9339834,test,Arteriole lumen
3,0.8973639,0.9214922,0.9385165,0.95261496,0.95261496,0.9991629,0.9214922,test,Arteriole media
3,0.8309933,0.84247684,0.842339,0.9794584,0.9794584,0.9968375,0.84247684,test,Arteriole adventitia
3,0.85049784,0.8689102,0.9593927,0.87667197,0.87667197,0.99995536,0.8689102,test,Capillary lumen
3,0.8329798,0.85382605,0.923173,0.8749446,0.8749446,0.9996687,0.85382605,test,Capillary wall
3,0.8866185,0.9020393,0.9142327,0.95971805,0.95971805,0.9991242,0.9020393,test,Venule lumen
3,0.82912356,0.84622824,0.85193926,0.9581982,0.9581982,0.997162,0.84622824,test,Venule wall
3,0.9541295,0.9651946,0.95963454,0.9909793,0.9909793,0.9935264,0.9651946,test,Immune cells
3,0.96857506,0.9833225,0.97101057,0.99728763,0.99728763,0.99547625,0.9833225,test,Nerve trunks
3,0.8848575,0.9019414,0.92179257,0.95112926,0.95112926,0.99785316,0.9019414,test,Mean
