Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
1,0.0028015957,0.005210717,0.0028741683,0.94397074,0.94397074,0.30990505,0.005210717,test,Arteriole lumen
1,0.0182328,0.031121701,0.018403895,0.97459865,0.97459865,0.70376027,0.031121701,test,Arteriole media
1,0.0041826866,0.0076152217,0.0044917595,0.97324866,0.97324866,0.7878772,0.0076152217,test,Arteriole adventitia
1,0.0012120944,0.0024153774,0.0012181429,0.61540663,0.61540663,0.6662339,0.0024153774,test,Capillary lumen
1,0.003929803,0.0077730054,0.0039312267,0.9713646,0.9713646,0.39152697,0.007773006,test,Capillary wall
1,0.007777429,0.014336163,0.0078123896,0.9833877,0.9833877,0.6943202,0.014336163,test,Venule lumen
1,0.00824546,0.015093608,0.008303732,0.9861116,0.9861116,0.4893195,0.01509361,test,Venule wall
1,0.005074259,0.008414066,0.0050893235,0.9959665,0.9959665,0.8387731,0.008414067,test,Immune cells
1,0.033315815,0.037238754,0.033491984,0.99965495,0.99965495,0.95970565,0.037238754,test,Nerve trunks
1,0.009419105,0.014357623,0.009512957,0.93819004,0.93819004,0.64904684,0.014357623,test,Mean
1,0.002948375,0.0057592895,0.0029699854,0.8967048,0.8967048,0.27763426,0.0057592895,train,Arteriole lumen
1,0.030851252,0.055157848,0.031073805,0.9840046,0.9840046,0.642289,0.055157844,train,Arteriole media
1,0.009434786,0.015395535,0.0102120135,0.9847906,0.9847906,0.7375285,0.015395535,train,Arteriole adventitia
1,0.0004053465,0.0008091685,0.00040604785,0.8853657,0.8853657,0.6481024,0.0008091685,train,Capillary lumen
1,0.0011791077,0.0023467191,0.001179444,0.97117805,0.97117805,0.34169084,0.0023467191,train,Capillary wall
1,0.01753461,0.03191729,0.017839804,0.9184887,0.9184887,0.6341654,0.03191729,train,Venule lumen
1,0.012631299,0.024161674,0.012736275,0.9433703,0.9433703,0.42814183,0.024161674,train,Venule wall
1,0.045050107,0.0725959,0.04609681,0.9896486,0.9896486,0.7856324,0.0725959,train,Immune cells
1,0.041449293,0.04937179,0.042229235,0.99443954,0.99443954,0.9055047,0.04937179,train,Nerve trunks
1,0.017942687,0.028612802,0.018304825,0.95199895,0.95199895,0.6000766,0.028612802,train,Mean
2,0.0031226114,0.005786397,0.003143913,0.99678224,0.99678224,0.28207323,0.0057863966,test,Arteriole lumen
2,0.019786466,0.03380071,0.019837268,0.99781024,0.99781024,0.6964254,0.03380071,test,Arteriole media
2,0.008094933,0.013829632,0.00875196,0.97770536,0.97770536,0.77893984,0.013829633,test,Arteriole adventitia
2,0.0018194471,0.00362255,0.0018255849,0.74539447,0.74539447,0.6587352,0.0036225503,test,Capillary lumen
2,0.0054788357,0.010820592,0.005480051,0.98196816,0.98196816,0.5471156,0.010820592,test,Capillary wall
2,0.008736204,0.015998837,0.008770842,0.9809192,0.9809192,0.7004668,0.015998837,test,Venule lumen
2,0.009476943,0.01720256,0.009486066,0.9974378,0.9974378,0.51692605,0.01720256,test,Venule wall
2,0.007050094,0.012180274,0.007159785,0.98664695,0.98664695,0.83025086,0.012180274,test,Immune cells
2,0.03561559,0.038701653,0.035882942,0.9996356,0.9996356,0.9273713,0.038701653,test,Nerve trunks
2,0.011020126,0.016882578,0.011148713,0.9627,0.9627,0.6598116,0.016882578,test,Mean
2,0.0026297101,0.0051153544,0.0026314822,0.99724275,0.99724275,0.321797,0.0051153544,train,Arteriole lumen
2,0.022513932,0.037933767,0.022576353,0.997769,0.997769,0.7127421,0.037933767,train,Arteriole media
2,0.0122418925,0.020641921,0.012733536,0.98766446,0.98766446,0.7740978,0.020641921,train,Arteriole adventitia
2,0.0005138536,0.0010229402,0.0005155622,0.93610644,0.93610644,0.71923435,0.0010229402,train,Capillary lumen
2,0.0024025934,0.0046921913,0.0024055569,0.9730056,0.9730056,0.5759261,0.0046921913,train,Capillary wall
2,0.0460446,0.08226301,0.046825603,0.906222,0.906222,0.69910854,0.08226301,train,Venule lumen
2,0.040403567,0.07289353,0.041057233,0.97123015,0.97123015,0.58807576,0.07289353,train,Venule wall
2,0.014757934,0.025672557,0.015626498,0.99664533,0.99664533,0.80856556,0.025672559,train,Immune cells
2,0.025452817,0.029143624,0.026759133,0.9982022,0.9982022,0.8789258,0.029143624,train,Nerve trunks
2,0.018551212,0.031042099,0.01901455,0.97378755,0.97378755,0.67538583,0.031042099,train,Mean
3,0.0032931692,0.0060590515,0.0032964237,0.98990107,0.98990107,0.3509815,0.006059051,test,Arteriole lumen
3,0.033055782,0.055101134,0.0332529,0.9972547,0.9972547,0.8719684,0.055101134,test,Arteriole media
3,0.009966693,0.016779466,0.011164309,0.9790598,0.9790598,0.8891535,0.016779467,test,Arteriole adventitia
3,0.0043847435,0.008684738,0.0044117663,0.86860436,0.86860436,0.8010409,0.008684738,test,Capillary lumen
3,0.00951192,0.018549543,0.009529421,0.9544498,0.9544498,0.72426105,0.018549543,test,Capillary wall
3,0.012780473,0.022612175,0.012881035,0.96993434,0.96993434,0.789492,0.022612173,test,Venule lumen
3,0.013830952,0.02404207,0.01387663,0.98518527,0.98518527,0.7312635,0.02404207,test,Venule wall
