Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
1,0.09188176,0.12482158,0.10560342,0.90474665,0.90474665,0.95799184,0.12482158,test,Arteriole lumen
1,0.015032796,0.026213838,0.019997628,0.9901428,0.9901428,0.601618,0.026213838,test,Arteriole media
1,0.005304535,0.0092474315,0.005331399,0.99430454,0.99430454,0.4390059,0.0092474315,test,Arteriole adventitia
1,0.0010783268,0.0021476408,0.0010785274,0.99854493,0.99854493,0.027549878,0.0021476408,test,Capillary lumen
1,0.0059857164,0.011756891,0.005990076,0.92760354,0.92760354,0.48717076,0.011756891,test,Capillary wall
1,0.008478652,0.015569319,0.008497763,0.9883469,0.9883469,0.7231459,0.015569319,test,Venule lumen
1,0.019202191,0.03257138,0.019203918,0.99613625,0.99613625,0.8221953,0.03257138,test,Venule wall
1,0.0058263307,0.009491018,0.005829189,0.99998075,0.99998075,0.85628384,0.009491019,test,Immune cells
1,0.01896763,0.025283754,0.018968046,0.9999857,0.9999857,0.5403068,0.025283754,test,Nerve trunks
1,0.019084215,0.028566983,0.021166664,0.9777547,0.9777547,0.606141,0.028566983,test,Mean
1,0.11337863,0.13519889,0.1135007,0.9873279,0.9873279,0.9558816,0.13519889,train,Arteriole lumen
1,0.031417966,0.053672016,0.031468637,0.9787968,0.9787968,0.6349471,0.05367201,train,Arteriole media
1,0.011927221,0.020706857,0.01211936,0.9969388,0.9969388,0.465984,0.020706857,train,Arteriole adventitia
1,0.00060544204,0.0012072996,0.0006054597,0.9834343,0.9834343,0.034077775,0.0012072996,train,Capillary lumen
1,0.0021096268,0.004194906,0.0021146596,0.85370183,0.85370183,0.44319484,0.004194906,train,Capillary wall
1,0.0450423,0.07898494,0.045119897,0.9829632,0.9829632,0.66629463,0.07898494,train,Venule lumen
1,0.08211466,0.13497144,0.08279153,0.99185574,0.99185574,0.81565064,0.13497144,train,Venule wall
1,0.027122341,0.045002796,0.030923167,0.9699783,0.9699783,0.85755205,0.045002792,train,Immune cells
1,0.06893028,0.08401565,0.06911485,0.9993434,0.9993434,0.58095884,0.08401565,train,Nerve trunks
1,0.042516496,0.061994977,0.04308425,0.97159344,0.97159344,0.6060602,0.061994977,train,Mean
2,0.16810438,0.20847023,0.17750241,0.9367496,0.9367496,0.9606278,0.20847023,test,Arteriole lumen
2,0.083362795,0.12442317,0.08749217,0.9931818,0.9931818,0.8931639,0.12442316,test,Arteriole media
2,0.004359956,0.007496202,0.004419052,0.9966533,0.9966533,0.37550533,0.0074962014,test,Arteriole adventitia
2,0.0010663714,0.002123781,0.0010672667,0.94097567,0.94097567,0.088901535,0.002123781,test,Capillary lumen
2,0.028593726,0.053061493,0.028681703,0.9212978,0.9212978,0.8654964,0.053061493,test,Capillary wall
2,0.04687435,0.067243196,0.05909787,0.97719294,0.97719294,0.9530103,0.067243196,test,Venule lumen
2,0.021569408,0.036510833,0.02170543,0.98877,0.98877,0.9081075,0.036510833,test,Venule wall
2,0.030079056,0.036503423,0.03008433,0.9998639,0.9998639,0.93402123,0.036503423,test,Immune cells
2,0.024406638,0.030276436,0.024421904,0.9998648,0.9998648,0.61904323,0.030276436,test,Nerve trunks
2,0.045379627,0.062900975,0.04827468,0.9727278,0.9727278,0.7330975,0.06290097,test,Mean
2,0.16609946,0.20470038,0.18168575,0.94257647,0.94257647,0.9631443,0.20470038,train,Arteriole lumen
2,0.09048161,0.13134348,0.09499572,0.9430587,0.9430587,0.8724798,0.13134348,train,Arteriole media
2,0.022083445,0.03686906,0.022107668,0.99832416,0.99832416,0.4934004,0.03686906,train,Arteriole adventitia
2,0.00033747253,0.0006738759,0.0003374887,0.98960865,0.98960865,0.082478404,0.0006738759,train,Capillary lumen
2,0.029459884,0.04093116,0.02954406,0.9034709,0.9034709,0.8352515,0.04093116,train,Capillary wall
2,0.18048571,0.23453152,0.19395748,0.85386425,0.85386425,0.9517827,0.23453154,train,Venule lumen
2,0.06438644,0.10299523,0.08115513,0.8657712,0.8657712,0.8899505,0.10299523,train,Venule wall
2,0.107500896,0.1400531,0.10866794,0.9578341,0.9578341,0.92602634,0.1400531,train,Immune cells
2,0.023978436,0.033452354,0.024666183,0.90690804,0.90690804,0.7427473,0.033452354,train,Nerve trunks
2,0.076090366,0.1028389,0.08190194,0.92904633,0.92904633,0.7508068,0.1028389,train,Mean
3,0.16556558,0.20576185,0.16783726,0.99553466,0.99553466,0.986752,0.20576185,test,Arteriole lumen
3,0.09631625,0.13932374,0.09826675,0.9949902,0.9949902,0.9446265,0.13932374,test,Arteriole media
3,0.004598822,0.008253289,0.0046026516,0.99971133,0.99971133,0.38547212,0.008253289,test,Arteriole adventitia
3,0.0060311174,0.011464715,0.0060868007,0.8676955,0.8676955,0.5836854,0.011464715,test,Capillary lumen
3,0.05694112,0.09651956,0.0591473,0.8524624,0.8524624,0.9301945,0.09651956,test,Capillary wall
3,0.122072816,0.14244542,0.12715396,0.9844775,0.9844775,0.9842101,0.14244542,test,Venule lumen
3,0.06406886,0.0838444,0.06434294,0.9905797,0.9905797,0.9551036,0.0838444,test,Venule wall
3,0.03969914,0.048357904,0.039913766,0.9929863,0.9929863,0.96813864,0.048357904,test,Immune cells
3,0.15653957,0.161045,0.15661602,0.9998448,0.9998448,0.9939346,0.161045,test,Nerve trunks
