Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
1,0.00559285,0.010280503,0.0057646963,0.940606,0.940606,0.42980498,0.010280502,test,Arteriole lumen
1,0.037558794,0.056968696,0.040763102,0.96661854,0.96661854,0.8297887,0.0569687,test,Arteriole media
1,0.003779287,0.0063693766,0.005366836,0.9451097,0.9451097,0.88361776,0.0063693766,test,Arteriole adventitia
1,0.00065165,0.001297112,0.00065284444,0.9320163,0.9320163,0.74054384,0.0012971121,test,Capillary lumen
1,0.017045766,0.030221181,0.019303245,0.86715007,0.86715007,0.979373,0.030221181,test,Capillary wall
1,0.047104336,0.063057154,0.06291652,0.9193903,0.9193903,0.8219702,0.063057154,test,Venule lumen
1,0.026682522,0.041945994,0.028158138,0.96953464,0.96953464,0.8621199,0.041945994,test,Venule wall
1,0.08871838,0.098731846,0.088754326,0.9995429,0.9995429,0.8829342,0.098731846,test,Immune cells
1,0.5180247,0.57359993,0.51927125,0.99837106,0.99837106,0.9674306,0.57359993,test,Nerve trunks
1,0.08279536,0.09805242,0.08566122,0.9487044,0.9487044,0.82195365,0.09805242,test,Mean
1,0.0045166537,0.008823041,0.0045295237,0.97142607,0.97142607,0.60926974,0.00882304,train,Arteriole lumen
1,0.044932626,0.075798705,0.050440162,0.9206628,0.9206628,0.83380324,0.075798705,train,Arteriole media
1,0.0072294814,0.013262582,0.009644291,0.93605405,0.93605405,0.83176124,0.013262582,train,Arteriole adventitia
1,0.003091646,0.0060755396,0.0031304117,0.8969177,0.8969177,0.7045033,0.0060755396,train,Capillary lumen
1,0.0234452,0.044057794,0.02750905,0.7614019,0.7614019,0.9472468,0.044057794,train,Capillary wall
1,0.11164168,0.16449584,0.13356382,0.68469447,0.68469447,0.91582793,0.16449584,train,Venule lumen
1,0.0779171,0.13553672,0.10395539,0.72785646,0.72785646,0.91416895,0.1355367,train,Venule wall
1,0.03013694,0.043336783,0.053996503,0.9376191,0.9376191,0.9487282,0.043336783,train,Immune cells
1,0.25892878,0.26246637,0.26290286,0.9953817,0.9953817,0.9792816,0.26246637,train,Nerve trunks
1,0.06242668,0.08376148,0.07218578,0.8702238,0.8702238,0.85384345,0.08376148,train,Mean
2,0.10237176,0.1228115,0.114897795,0.9024652,0.9024652,0.99538314,0.1228115,test,Arteriole lumen
2,0.740139,0.76510155,0.8055464,0.8849207,0.8849207,0.99897057,0.76510155,test,Arteriole media
2,0.09420134,0.096528515,0.1050363,0.9320906,0.9320906,0.9884484,0.096528515,test,Arteriole adventitia
2,0.77832377,0.79779685,0.88610536,0.8507166,0.8507166,0.9998712,0.7977968,test,Capillary lumen
2,0.6895224,0.71133673,0.7396324,0.8443233,0.8443233,0.99946916,0.71133673,test,Capillary wall
2,0.6964539,0.7168813,0.75396764,0.9072579,0.9072579,0.998386,0.7168813,test,Venule lumen
2,0.18529712,0.20424852,0.20587495,0.93763626,0.93763626,0.99513113,0.20424852,test,Venule wall
2,0.9101885,0.9205224,0.92156947,0.98332787,0.98332787,0.9964065,0.9205224,test,Immune cells
2,0.80079067,0.8308197,0.8018597,0.99872065,0.99872065,0.9877198,0.8308197,test,Nerve trunks
2,0.5552543,0.57400525,0.59272116,0.91571766,0.91571766,0.99553174,0.57400525,test,Mean
2,0.23280075,0.27452353,0.36906233,0.66453385,0.66453385,0.9942194,0.27452353,train,Arteriole lumen
2,0.34255812,0.40205404,0.519748,0.69089234,0.69089234,0.9943733,0.402054,train,Arteriole media
